index_id,room_longitude,room_latitude,total_agent,floor_total,owner_gender,room_name,scope_name,estate_house_quantity,room_money,rf_kt,rf_src,rf_yg,rf_bx,rf_wsj,rf_cf,rf_rsq,rf_kd,rf_yt,rf_drc,rf_xzt,rf_pc,rf_xyj,rf_sf,rf_szt,rf_dsj,rf_unknow,zhuanzu,keduanzu,estate_name,puf_no,puf_bx,puf_xyj,puf_kd,puf_rsq,puf_cf,puf_wsj,puf_kt,puf_sf,puf_nq,puf_wbl,puf_kx,puf_dsj,agent_money,commission_price,area,fdxh_zxgl,fdxh_agj,fdxh_bxy,fdxh_bhj,fdxh_ds,fdxh_yh,fdxh_drz,fdxh_srz,fdxh_nvsheng,fdxh_nansheng,region_name,rent_type,only_girl,brand_type,subway_nums,subway_least_distance,decoration,floor,room_direction,hall_num,room_area,wei_num,business_type,is_zhongjie,room_num,pay_method,room_type
0,120.181689,30.250217,1,6,1,0,0,2,2500.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,3,3,10,0,25.0,1,2,0,1,1,5
1,120.35031891,30.31494904,1,11,0,1,1,14,1550.0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0.0,0.0,150.0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,630,3,5,9,1,22.0,2,1,0,4,3,1
2,120.323701,30.32478,1,0,2,2,2,17,1000.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,40.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1547,2,0,1,0,20.0,1,2,0,1,1,1
3,120.383071,30.289895,1,40,0,1,3,205,1700.0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,1,1,1,1,0,0,0,0,0,0.0,0.0,140.0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,991,3,14,9,1,20.0,2,1,0,4,3,1
4,120.353891,30.323261,1,23,0,1,4,9,1600.0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1,1,1,1,0,1,0,0,0,0,0.0,0.0,110.0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,959,3,8,9,1,25.0,1,1,0,3,3,1
5,120.345769,30.331295,1,16,1,0,4,5,1500.0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,23.0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,2319,3,13,1,0,23.0,1,2,0,1,3,5
6,120.336347,30.321121,1,18,0,1,2,17,1400.0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,0,1,1,1,1,1,1,0,0,0,0,0,0,0.0,0.0,210.0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,4,1103,3,8,9,1,22.0,3,1,0,4,3,1
7,120.08577,30.338413,1,8,1,0,5,4,2430.0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,40.0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,0,-1,3,7,9,1,40.0,1,1,0,1,3,5
8,120.199168,30.289047,1,6,1,0,6,18,3500.0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1750.0,50.0,50.0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,4,197,3,6,9,1,50.0,1,1,1,2,9,5
9,120.20152269,30.28301189,1,6,1,0,6,24,3200.0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1600.0,50.0,60.0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,1225,2,5,9,1,60.0,1,1,1,2,9,5
