index_id,room_longitude,room_latitude,total_agent,floor_total,owner_gender,room_name,scope_name,estate_house_quantity,room_money,rf_kt,rf_src,rf_yg,rf_bx,rf_wsj,rf_cf,rf_rsq,rf_kd,rf_yt,rf_drc,rf_xzt,rf_pc,rf_xyj,rf_sf,rf_szt,rf_dsj,rf_unknow,zhuanzu,keduanzu,estate_name,puf_no,puf_bx,puf_xyj,puf_kd,puf_rsq,puf_cf,puf_wsj,puf_kt,puf_sf,puf_nq,puf_wbl,puf_kx,puf_dsj,agent_money,commission_price,area,fdxh_zxgl,fdxh_agj,fdxh_bxy,fdxh_bhj,fdxh_ds,fdxh_yh,fdxh_drz,fdxh_srz,fdxh_nvsheng,fdxh_nansheng,region_name,rent_type,only_girl,brand_type,subway_nums,subway_least_distance,decoration,floor,room_direction,hall_num,room_area,wei_num,business_type,is_zhongjie,room_num,pay_method,room_type
0,114.01884766,22.6491596,1,28,1,0,218,37,4000.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,3394,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,40.0,0,0,0,0,0,0,0,0,0,0,39,2,0,0,3,491,3,16,9,1,40.0,1,1,0,1,6,5
1,114.057618,22.530957,1,33,2,0,280,5,3300.0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,3395,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,32.0,0,0,0,0,0,0,0,0,0,0,40,2,0,0,12,569,3,16,1,0,32.0,1,1,0,1,2,5
2,113.897033,0.0,1,28,1,0,281,1,3600.0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3396,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,48.0,0,0,0,0,0,0,0,0,0,0,41,2,0,0,0,-1,3,6,9,1,48.0,1,1,0,2,6,5
3,113.873988,22.604198,1,16,1,0,281,10,2300.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3398,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,42.0,0,0,0,0,0,0,0,0,0,0,41,2,0,0,0,-1,3,3,9,0,42.0,1,1,0,1,6,5
4,114.01884766,22.6491596,1,28,1,0,218,37,3400.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3394,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,40.0,0,0,0,0,0,0,0,0,0,0,39,2,0,0,3,491,3,14,9,0,40.0,1,1,0,1,6,5
5,114.01884766,22.6491596,1,36,1,0,218,37,3900.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3394,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,58.0,0,0,0,0,0,0,0,0,0,0,39,2,0,0,3,491,3,30,4,1,58.0,1,1,0,1,6,5
6,113.89296758,22.59379085,1,32,1,8,282,8,5300.0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,3400,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,86.0,0,0,0,0,0,0,0,0,0,0,41,2,0,0,0,-1,3,12,4,2,86.0,2,1,0,3,6,5
7,114.01884766,22.6491596,1,36,1,0,218,37,3900.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3394,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,48.0,0,0,0,0,0,0,0,0,0,0,39,2,0,0,3,491,3,30,4,1,48.0,1,1,0,1,6,5
8,114.13374329,22.57199097,1,7,2,0,284,2,2300.0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,3402,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,48.0,0,0,0,0,0,0,0,0,0,0,42,2,0,0,9,503,2,5,1,1,48.0,1,1,0,2,2,5
9,114.0328598,22.63946342,1,9,2,0,286,5,4000.0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,3404,0,1,1,1,1,0,1,1,1,0,0,0,0,0.0,0.0,75.0,0,0,0,0,0,0,0,0,0,0,39,2,0,0,3,1923,2,0,9,2,75.0,1,1,0,2,1,5
